Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
201,ODUGS,VCC-C,44430,2019-12-16 13:31:21.715,2019-12-16 13:42:03.971,642.256,68.969
202,UVAGS,VCC-A,44428,2019-12-16 14:07:38.078,2019-12-16 14:18:15.366,637.288,43.739
203,VTGS,VCC-B,44431,2019-12-16 14:10:06.134,2019-12-16 14:20:40.206,634.072,43.024
204,ODUGS,VCC-C,44430,2019-12-16 15:09:05.446,2019-12-16 15:18:13.281,547.835,12.284
205,UVAGS,VCC-A,44428,2019-12-16 15:45:36.922,2019-12-16 15:54:34.449,537.527,11.185
206,VTGS,VCC-B,44431,2019-12-16 15:48:11.329,2019-12-16 15:56:54.627,523.298,10.291
207,ODUGS,VCC-C,44430,2019-12-16 18:24:46.453,2019-12-16 18:33:35.828,529.375,10.582
208,UVAGS,VCC-A,44428,2019-12-16 19:00:33.808,2019-12-16 19:10:20.335,586.527,17.21
209,VTGS,VCC-B,44431,2019-12-16 19:03:22.261,2019-12-16 19:12:47.346,565.085,14.375
210,ODUGS,VCC-C,44430,2019-12-16 20:00:55.761,2019-12-16 20:11:35.026,639.265,49.174
211,UVAGS,VCC-A,44428,2019-12-16 20:36:51.799,2019-12-16 20:47:35.759,643.96,70.251
212,VTGS,VCC-B,44431,2019-12-16 20:39:36.018,2019-12-16 20:50:19.263,643.245,89.424
213,ODUGS,VCC-C,44430,2019-12-16 21:37:47.894,2019-12-16 21:46:57.915,550.021,13.578
214,ODUGS,VCC-C,44430,2019-12-17 12:38:41.700,2019-12-17 12:49:18.130,636.43,53.328
215,UVAGS,VCC-A,44428,2019-12-17 13:15:21.993,2019-12-17 13:26:06.363,644.37,87.931
216,VTGS,VCC-B,44431,2019-12-17 13:17:51.080,2019-12-17 13:28:32.687,641.607,88.328
217,ODUGS,VCC-C,44430,2019-12-17 14:15:44.682,2019-12-17 14:25:33.037,588.355,18.013
218,UVAGS,VCC-A,44428,2019-12-17 14:52:50.813,2019-12-17 15:02:23.234,572.421,15.065
219,VTGS,VCC-B,44431,2019-12-17 14:55:23.478,2019-12-17 15:04:46.496,563.018,14.214
