Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
129,VCC-NET,VCC-C,44430,2019-12-25 10:25:19.496,2019-12-25 10:36:32.581,673.085,57.422
130,VCC-NET,VCC-A,44428,2019-12-25 11:08:06.877,2019-12-25 11:18:51.048,644.171,24.528
131,VCC-NET,VCC-B,44431,2019-12-25 11:10:52.112,2019-12-25 11:21:33.412,641.3,23.493
132,VCC-NET,VCC-C,44430,2019-12-25 12:03:09.470,2019-12-25 12:12:39.539,570.069,12.12
133,VCC-NET,VCC-C,44430,2019-12-25 15:18:32.495,2019-12-25 15:28:40.802,608.307,15.239
134,VCC-NET,VCC-A,44428,2019-12-25 16:00:59.010,2019-12-25 16:11:58.122,659.112,27.132
135,VCC-NET,VCC-B,44431,2019-12-25 16:03:41.402,2019-12-25 16:14:43.049,661.647,28.364
136,VCC-NET,VCC-C,44430,2019-12-25 16:54:42.270,2019-12-25 17:06:07.379,685.109,89.041
137,VCC-NET,VCC-A,44428,2019-12-25 17:37:20.488,2019-12-25 17:48:21.858,661.37,40.608
138,VCC-NET,VCC-B,44431,2019-12-25 17:40:04.055,2019-12-25 17:51:01.967,657.912,37.837
139,VCC-NET,VCC-C,44430,2019-12-25 18:31:47.460,2019-12-25 18:40:18.464,511.004,10.303
140,VCC-NET,VCC-A,44428,2019-12-26 08:39:56.040,2019-12-26 08:49:53.986,597.946,24.946
141,VCC-NET,VCC-B,44431,2019-12-26 08:42:34.663,2019-12-26 08:52:38.633,603.97,26.602
142,VCC-NET,VCC-C,44430,2019-12-26 09:32:28.573,2019-12-26 09:43:44.125,675.552,75.234
143,VCC-NET,VCC-A,44428,2019-12-26 10:15:35.511,2019-12-26 10:26:43.874,668.363,42.594
144,VCC-NET,VCC-B,44431,2019-12-26 10:18:19.636,2019-12-26 10:29:26.189,666.553,40.155
145,VCC-NET,VCC-C,44430,2019-12-26 11:09:40.800,2019-12-26 11:19:52.933,612.133,16.854
146,VCC-NET,VCC-A,44428,2019-12-26 11:53:41.000,2019-12-26 12:02:56.724,555.724,10.833
147,VCC-NET,VCC-B,44431,2019-12-26 11:56:50.198,2019-12-26 12:05:39.879,529.681,10.581
148,VCC-NET,VCC-C,44430,2019-12-26 14:25:45.582,2019-12-26 14:35:08.943,563.361,11.179
149,VCC-NET,VCC-A,44428,2019-12-26 15:08:50.854,2019-12-26 15:19:17.396,626.542,17.87
150,VCC-NET,VCC-B,44431,2019-12-26 15:11:33.353,2019-12-26 15:22:03.199,629.846,18.495
151,VCC-NET,VCC-C,44430,2019-12-26 16:01:54.030,2019-12-26 16:13:11.136,677.106,45.319
152,VCC-NET,VCC-A,44428,2019-12-26 16:45:04.289,2019-12-26 16:56:28.502,684.213,89.455
153,VCC-NET,VCC-B,44431,2019-12-26 16:47:47.154,2019-12-26 16:59:10.307,683.153,83.853
154,VCC-NET,VCC-C,44430,2019-12-26 17:38:28.069,2019-12-26 17:48:40.793,612.724,21.209
155,VCC-NET,VCC-A,44428,2019-12-27 07:48:37.219,2019-12-27 07:57:36.461,539.242,12.45
156,VCC-NET,VCC-B,44431,2019-12-27 07:51:14.820,2019-12-27 08:00:22.075,547.255,13.302
157,VCC-NET,VCC-C,44430,2019-12-27 08:39:53.937,2019-12-27 08:50:35.970,642.033,48.318
158,VCC-NET,VCC-A,44428,2019-12-27 09:23:16.311,2019-12-27 09:34:34.791,678.48,87.641
159,VCC-NET,VCC-B,44431,2019-12-27 09:25:59.108,2019-12-27 09:37:17.258,678.15,82.097
160,VCC-NET,VCC-C,44430,2019-12-27 10:16:19.300,2019-12-27 10:27:05.111,645.811,25.856
161,VCC-NET,VCC-A,44428,2019-12-27 11:00:49.047,2019-12-27 11:10:46.141,597.094,14.499
162,VCC-NET,VCC-B,44431,2019-12-27 11:03:35.238,2019-12-27 11:13:28.765,593.527,14.072
163,VCC-NET,VCC-A,44428,2019-12-27 14:16:39.151,2019-12-27 14:26:27.369,588.218,12.804
