Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
179,ODUGS,VCC-A,44428,2020-03-29 03:31:14.470,2020-03-29 03:41:51.211,636.741,60.545
180,VTGS,VCC-B,44431,2020-03-29 03:32:29.182,2020-03-29 03:43:06.931,637.749,86.851
181,UVAGS,VCC-B,44431,2020-03-29 03:32:39.270,2020-03-29 03:43:16.339,637.069,61.863
182,WFF,VCC-B,44431,2020-03-29 03:33:12.835,2020-03-29 03:43:41.851,629.016,45.073
183,ODUGS,VCC-B,44431,2020-03-29 03:33:12.944,2020-03-29 03:43:48.734,635.79,57.206
184,VTGS,VCC-C,44430,2020-03-29 04:26:09.428,2020-03-29 04:35:45.080,575.652,18.798
185,UVAGS,VCC-C,44430,2020-03-29 04:26:27.479,2020-03-29 04:35:38.632,551.153,14.357
186,ODUGS,VCC-C,44430,2020-03-29 04:27:05.644,2020-03-29 04:36:04.492,538.848,12.902
187,WFF,VCC-C,44430,2020-03-29 04:27:12.011,2020-03-29 04:35:45.880,513.869,10.74
188,ODUGS,VCC-A,44428,2020-03-29 18:33:07.788,2020-03-29 18:41:56.083,528.295,11.714
189,WFF,VCC-A,44428,2020-03-29 18:33:28.230,2020-03-29 18:42:12.798,524.568,11.539
190,ODUGS,VCC-B,44431,2020-03-29 18:35:01.689,2020-03-29 18:43:56.134,534.445,12.31
191,WFF,VCC-B,44431,2020-03-29 18:35:22.114,2020-03-29 18:44:12.829,530.715,12.117
192,VTGS,VCC-C,44430,2020-03-29 19:26:04.886,2020-03-29 19:36:13.870,608.984,31.15
193,UVAGS,VCC-C,44430,2020-03-29 19:26:27.414,2020-03-29 19:36:43.708,616.294,34.507
194,ODUGS,VCC-C,44430,2020-03-29 19:26:28.051,2020-03-29 19:36:56.982,628.931,52.161
195,WFF,VCC-C,44430,2020-03-29 19:26:47.323,2020-03-29 19:37:13.681,626.358,49.365
196,VTGS,VCC-A,44428,2020-03-29 20:07:36.729,2020-03-29 20:18:13.008,636.279,88.545
197,UVAGS,VCC-A,44428,2020-03-29 20:08:02.304,2020-03-29 20:18:41.484,639.18,85.021
198,ODUGS,VCC-A,44428,2020-03-29 20:08:14.075,2020-03-29 20:18:50.414,636.339,55.625
199,WFF,VCC-A,44428,2020-03-29 20:08:31.789,2020-03-29 20:19:07.850,636.061,60.341
200,VTGS,VCC-B,44431,2020-03-29 20:09:34.501,2020-03-29 20:20:10.807,636.306,87.242
201,UVAGS,VCC-B,44431,2020-03-29 20:10:00.185,2020-03-29 20:20:39.259,639.074,81.071
202,ODUGS,VCC-B,44431,2020-03-29 20:10:12.498,2020-03-29 20:20:48.009,635.511,52.911
203,WFF,VCC-B,44431,2020-03-29 20:10:30.108,2020-03-29 20:21:05.500,635.392,57.441
204,VTGS,VCC-C,44430,2020-03-29 21:02:26.267,2020-03-29 21:12:27.943,601.676,24.221
205,UVAGS,VCC-C,44430,2020-03-29 21:02:53.293,2020-03-29 21:12:57.168,603.875,23.95
206,ODUGS,VCC-C,44430,2020-03-29 21:03:20.898,2020-03-29 21:13:01.949,581.051,17.763
207,WFF,VCC-C,44430,2020-03-29 21:03:34.204,2020-03-29 21:13:21.653,587.449,19.459
208,VTGS,VCC-A,44428,2020-03-29 21:45:00.744,2020-03-29 21:54:19.795,559.051,14.23
209,UVAGS,VCC-A,44428,2020-03-29 21:45:26.360,2020-03-29 21:54:51.180,564.82,14.584
210,ODUGS,VCC-A,44428,2020-03-29 21:46:03.186,2020-03-29 21:54:54.809,531.623,11.028
211,WFF,VCC-A,44428,2020-03-29 21:46:12.117,2020-03-29 21:55:16.697,544.58,12.391
212,VTGS,VCC-B,44431,2020-03-29 21:47:01.016,2020-03-29 21:56:17.308,556.292,13.887
213,UVAGS,VCC-B,44431,2020-03-29 21:47:26.495,2020-03-29 21:56:48.830,562.335,14.26
214,ODUGS,VCC-B,44431,2020-03-29 21:48:03.761,2020-03-29 21:56:52.439,528.678,10.783
215,WFF,VCC-B,44431,2020-03-29 21:48:12.430,2020-03-29 21:57:14.446,542.016,12.137
216,UVAGS,VCC-A,44428,2020-03-30 01:00:44.869,2020-03-30 01:09:51.072,546.203,12.329
217,WFF,VCC-A,44428,2020-03-30 01:01:17.397,2020-03-30 01:10:34.400,557.003,13.72
218,ODUGS,VCC-A,44428,2020-03-30 01:01:23.864,2020-03-30 01:10:20.081,536.217,11.389
219,VTGS,VCC-B,44431,2020-03-30 01:02:37.819,2020-03-30 01:11:16.214,518.395,10.168
220,UVAGS,VCC-B,44431,2020-03-30 01:02:42.622,2020-03-30 01:11:51.215,548.593,12.579
221,WFF,VCC-B,44431,2020-03-30 01:03:15.010,2020-03-30 01:12:34.479,559.469,14.027
222,ODUGS,VCC-B,44431,2020-03-30 01:03:21.414,2020-03-30 01:12:20.484,539.07,11.652
223,VTGS,VCC-C,44430,2020-03-30 01:54:42.794,2020-03-30 02:04:33.507,590.713,20.476
224,UVAGS,VCC-C,44430,2020-03-30 01:54:48.537,2020-03-30 02:04:58.157,609.62,26.064
225,WFF,VCC-C,44430,2020-03-30 01:55:18.897,2020-03-30 02:05:36.399,617.502,31.521
226,ODUGS,VCC-C,44430,2020-03-30 01:55:23.007,2020-03-30 02:05:31.841,608.834,25.764
227,VTGS,VCC-A,44428,2020-03-30 02:36:46.940,2020-03-30 02:47:16.056,629.116,41.483
228,UVAGS,VCC-A,44428,2020-03-30 02:36:54.637,2020-03-30 02:47:32.690,638.053,57.319
229,WFF,VCC-A,44428,2020-03-30 02:37:25.900,2020-03-30 02:48:04.870,638.97,76.205
230,ODUGS,VCC-A,44428,2020-03-30 02:37:28.043,2020-03-30 02:48:06.497,638.454,59.516
231,VTGS,VCC-B,44431,2020-03-30 02:38:44.367,2020-03-30 02:49:14.599,630.232,43.354
232,UVAGS,VCC-B,44431,2020-03-30 02:38:52.184,2020-03-30 02:49:30.813,638.629,60.184
233,WFF,VCC-B,44431,2020-03-30 02:39:23.540,2020-03-30 02:50:02.634,639.094,80.035
234,ODUGS,VCC-B,44431,2020-03-30 02:39:25.574,2020-03-30 02:50:04.572,638.998,62.657
235,VTGS,VCC-C,44430,2020-03-30 03:30:51.452,2020-03-30 03:41:12.867,621.415,41.503
236,UVAGS,VCC-C,44430,2020-03-30 03:31:04.310,2020-03-30 03:41:15.800,611.49,30.382
237,ODUGS,VCC-C,44430,2020-03-30 03:31:39.172,2020-03-30 03:41:45.995,606.823,27.813
238,WFF,VCC-C,44430,2020-03-30 03:31:41.292,2020-03-30 03:41:34.447,593.155,23.029
239,VTGS,VCC-A,44428,2020-03-30 04:13:26.640,2020-03-30 04:22:51.101,564.461,16.252
240,UVAGS,VCC-A,44428,2020-03-30 04:13:46.141,2020-03-30 04:22:42.368,536.227,12.38
241,ODUGS,VCC-A,44428,2020-03-30 04:14:25.387,2020-03-30 04:23:07.006,521.619,11.032
242,VTGS,VCC-B,44431,2020-03-30 04:15:25.940,2020-03-30 04:24:45.525,559.585,15.515
243,UVAGS,VCC-B,44431,2020-03-30 04:15:45.934,2020-03-30 04:24:36.053,530.119,11.791
244,ODUGS,VCC-B,44431,2020-03-30 04:16:25.540,2020-03-30 04:25:00.277,514.737,10.474
245,VTGS,VCC-C,44430,2020-03-30 18:31:41.112,2020-03-30 18:40:49.156,548.044,14.456
246,ODUGS,VCC-C,44430,2020-03-30 18:31:48.863,2020-03-30 18:41:41.121,592.258,22.599
