Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
94,VCC-NET,VCC-B,44431,2019-12-22 17:03:50.665,2019-12-22 17:14:42.356,651.691,28.586
95,VCC-NET,VCC-C,44430,2019-12-22 17:56:48.185,2019-12-22 18:08:13.319,685.134,83.497
96,VCC-NET,VCC-A,44428,2019-12-22 18:37:25.912,2019-12-22 18:48:29.910,663.998,54.255
97,VCC-NET,VCC-B,44431,2019-12-22 18:40:09.295,2019-12-22 18:51:09.885,660.59,50.329
98,VCC-NET,VCC-C,44430,2019-12-22 19:33:42.594,2019-12-22 19:42:42.711,540.117,12.864
99,VCC-NET,VCC-A,44428,2019-12-23 09:40:24.301,2019-12-23 09:50:32.700,608.399,19.464
100,VCC-NET,VCC-B,44431,2019-12-23 09:43:02.052,2019-12-23 09:53:16.779,614.727,20.722
101,VCC-NET,VCC-C,44430,2019-12-23 10:34:39.385,2019-12-23 10:46:08.001,688.616,86.993
102,VCC-NET,VCC-A,44428,2019-12-23 11:15:40.971,2019-12-23 11:27:13.960,692.989,54.599
103,VCC-NET,VCC-B,44431,2019-12-23 11:18:24.773,2019-12-23 11:29:55.966,691.193,51.109
104,VCC-NET,VCC-C,44430,2019-12-23 12:11:39.267,2019-12-23 12:22:21.779,642.512,18.802
105,VCC-NET,VCC-A,44428,2019-12-23 12:53:35.896,2019-12-23 13:03:33.220,597.324,11.946
106,VCC-NET,VCC-B,44431,2019-12-23 12:56:22.525,2019-12-23 13:06:15.937,593.412,11.642
107,VCC-NET,VCC-C,44430,2019-12-23 15:27:52.645,2019-12-23 15:37:21.631,568.986,11.286
108,VCC-NET,VCC-A,44428,2019-12-23 16:09:01.433,2019-12-23 16:19:14.972,613.539,17.895
109,VCC-NET,VCC-B,44431,2019-12-23 16:11:44.141,2019-12-23 16:22:01.186,617.045,18.532
110,VCC-NET,VCC-C,44430,2019-12-23 17:04:03.772,2019-12-23 17:15:15.902,672.13,47.033
111,VCC-NET,VCC-A,44428,2019-12-23 17:45:14.175,2019-12-23 17:56:37.411,683.236,84.495
112,VCC-NET,VCC-B,44431,2019-12-23 17:47:56.992,2019-12-23 17:59:23.740,686.748,79.075
113,VCC-NET,VCC-C,44430,2019-12-23 18:40:32.027,2019-12-23 18:50:47.498,615.471,25.981
114,VCC-NET,VCC-B,44431,2019-12-24 08:51:48.430,2019-12-24 09:00:38.445,530.015,10.162
115,VCC-NET,VCC-C,44430,2019-12-24 09:42:13.486,2019-12-24 09:53:14.049,660.563,38.287
116,VCC-NET,VCC-A,44428,2019-12-24 10:23:29.163,2019-12-24 10:35:05.675,696.512,77.317
